PO Number,Load ID,Load Dest,Load Dest Type,Load Dest Address,Load P/U Window Start,Load P/U Window End,MABD,Carrier PU Date,Carrier Due Date,Carrier Name,Industry SCAC,Mode,Ship Point,Loading Method,Cases,Weight,Cube,Pallets,Event Code,PO Type,Department,Confirmed Date,Held/Suspended,PO Dest
5736373709,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,49,72,8,1,POS REPLEN,33,40,05/16/2024,NO,6069
5781574056,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,45,66,7,1,POS REPLEN,33,40,05/16/2024,NO,6026
5830239157,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,32,75,9,1,POS REPLEN,33,79,05/16/2024,NO,6030
5831373770,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/03/2024,06/03/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,30,73,8,1,POS REPLEN,33,79,05/16/2024,NO,6024
5936137105,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/02/2024,06/02/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,40,58,6,1,POS REPLEN,33,40,05/16/2024,NO,7035
5981730846,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,34,87,9,1,POS REPLEN,33,79,05/16/2024,NO,6035
6236491150,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/26/2024,05/26/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,55,138,14,1,POS REPLEN,33,79,05/16/2024,NO,6036
6236521641,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,26,38,4,1,POS REPLEN,33,40,05/16/2024,NO,6048
6281721316,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/26/2024,05/26/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,48,118,12,1,POS REPLEN,33,79,05/16/2024,NO,6068
6481472852,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/02/2024,06/02/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,35,89,9,1,POS REPLEN,33,79,05/16/2024,NO,7035
6680459697,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/01/2024,06/01/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,27,66,7,1,POS REPLEN,33,79,05/16/2024,NO,6080
6736541512,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,44,64,7,1,POS REPLEN,33,40,05/16/2024,NO,6025
6781346476,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/26/2024,05/26/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,35,51,6,1,POS REPLEN,33,40,05/16/2024,NO,7036
6781741633,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/31/2024,05/31/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,49,72,8,1,POS REPLEN,33,40,05/16/2024,NO,6070
6831691120,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/01/2024,06/01/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,38,89,10,1,POS REPLEN,33,79,05/16/2024,NO,6040
6831741341,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,35,51,6,1,POS REPLEN,33,40,05/16/2024,NO,6011
7231445347,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,66,96,11,1,POS REPLEN,33,40,05/16/2024,NO,7045
7381652594,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/31/2024,05/31/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,53,77,9,1,POS REPLEN,33,40,05/16/2024,NO,6010
7381770967,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,55,80,9,1,POS REPLEN,33,40,05/16/2024,NO,6066
7480239061,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,21,51,6,1,POS REPLEN,33,79,05/16/2024,NO,7045
7481179313,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/02/2024,06/02/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,45,66,7,1,POS REPLEN,33,40,05/16/2024,NO,6027
7481257925,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/29/2024,05/29/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,67,98,11,1,POS REPLEN,33,40,05/16/2024,NO,7026
